,year,plot,intensity,SOC,SIC,STC,N,C/N
0,,G17,,17.04632381,5.939496852,22.98582067,2.21647896,10.37042132
1,,G19,,17.06276745,3.138841257,20.2016087,2.359232829,8.562787213
2,,G21,,21.86361418,3.059499955,24.92311414,2.635769622,9.455725541
3,,G6,,14.78982417,1.346795638,16.13661981,2.033535168,7.935254852
4,,G12,,15.84380456,4.54805436,20.39185892,1.991918853,10.237294
5,,G18,,20.52937771,8.618518829,29.14789654,2.406289161,12.11321441
6,,G8,,14.64568623,0.3810782,15.02676443,1.964337686,7.649786761
7,,G11,,14.41543218,2.612340766,17.02777295,1.939604264,8.778993354
8,,G16,,14.27877481,9.439318224,23.71809303,1.760625537,13.47140124
9,,G9,,18.02049699,1.299095036,19.31959202,2.324885079,8.30991269
10,,G13,,16.03871824,3.704762518,19.74348076,2.088606768,9.452943016
11,,G20,,16.48727281,3.381967477,19.86924029,2.111922102,9.408131231
