,date,train,test,pred
0,Jan-12,13.73,,
1,Feb-12,13,,
2,Mar-12,12.6,,
3,Apr-12,11.97,,
4,May-12,14.18,,
5,Jun-12,19.28,,
6,Jul-12,19.64,,
7,Aug-12,15.76,,
8,Sep-12,17.12,,
9,Oct-12,15.04,,
10,Nov-12,14.79,,
11,Dec-12,14.42,,
12,Jan-13,14.09,,
13,Feb-13,13.55,,
14,Mar-13,12.85,,
15,Apr-13,11.82,,
16,May-13,12.73,,
17,Jun-13,19.25,,
18,Jul-13,20.34,,
19,Aug-13,17.61,,
20,Sep-13,14.49,,
21,Oct-13,13.56,,
22,Nov-13,11.92,,
23,Dec-13,10.98,,
24,Jan-14,10.55,,
25,Feb-14,9.97,,
26,Mar-14,13.96,,
27,Apr-14,15.5,,
28,May-14,16.73,,
29,Jun-14,18.29,,
30,Jul-14,16.7,,
31,Aug-14,14.85,,
32,Sep-14,12.84,,
33,Oct-14,14.98,,
34,Nov-14,13.72,,
35,Dec-14,11.73,,
36,Jan-15,11.17,,
37,Feb-15,10.77,,
38,Mar-15,9.93,,
39,Apr-15,15.31,,
40,May-15,14.55,,
41,Jun-15,16.82,,
42,Jul-15,17.13,,
43,Aug-15,15.47,,
44,Sep-15,17.31,,
45,Oct-15,15.55,,
46,Nov-15,14.55,,
47,Dec-15,14.73,,
48,Jan-16,14.11,,
49,Feb-16,13.34,,
50,Mar-16,12.26,,
51,Apr-16,11.05,,
52,May-16,15.43,,
53,Jun-16,17,,
54,Jul-16,17.33,,
55,Aug-16,12.85,,
56,Sep-16,16.22,,
57,Oct-16,17.79,,
58,Nov-16,16.33,,
59,Dec-16,13.25,,
60,Jan-17,12.48,,
61,Feb-17,11.71,,
62,Mar-17,11.1,,
63,Apr-17,11.06,,
64,May-17,11.81,,
65,Jun-17,13.29,,
66,Jul-17,15.33,,
67,Aug-17,16.83,,
68,Sep-17,14.24,,
69,Oct-17,13.52,,
70,Nov-17,12.13,,
71,Dec-17,11.21,,
72,Jan-18,10.69,,
73,Feb-18,10.26,,
74,Mar-18,9.75,,
75,Apr-18,14.55,,
76,May-18,13.94,,
77,Jun-18,15.68,,
78,Jul-18,19.66,,
79,Aug-18,19.01,,
80,Sep-18,18.27,,
81,Oct-18,14.81,,
82,Nov-18,12.47,,
83,Dec-18,11.08,,
84,Jan-19,10.27,,
85,Feb-19,9.64,,
86,Mar-19,10.02,,
87,Apr-19,11.22,,
88,May-19,15.88,,
89,Jun-19,16.75,,
90,Jul-19,17.25,,
91,Aug-19,17.39,16.552477,
92,Sep-19,12.68,13.679974,
93,Oct-19,13.99,14.171746,
94,Nov-19,13.89,13.501648,
95,Dec-19,12.59,12.028273,
96,Jan-20,12.21,12.472079,
97,Feb-20,11.86,12.088974,
98,Mar-20,11.95,11.597152,
99,Apr-20,13.73,13.279673,
100,May-20,16.51,15.496143,
101,Jun-20,17.01,16.516068,
102,Jul-20,21.31,20.491716,
103,Aug-20,20.79,20.179249,
104,Sep-20,20.04,18.318827,
105,Oct-20,16.59,17.526539,
106,Nov-20,15.04,15.191926,
107,Dec-20,16.51,13.505263,
108,Jan-21,15.17,14.435587,
109,Feb-21,13.93,13.905156,
110,Mar-21,14.37,13.272468,
111,Apr-21,14.18,13.890807,
112,May-21,14.77,15.277752,
113,Jun-21,17.66,17.502409,
114,Jul-21,22.1,19.168055,
115,Aug-21,20.36,16.930296,
116,Sep-21,21.01,18.908697,
117,Oct-21,16.93,16.678432,
118,Nov-21,13.91,14.238128,
119,Dec-21,13.14,15.564548,
120,Jan-22,12.45,15.699199,
121,Feb-22,12.1,14.628747,
122,Mar-22,14.96,13.036303,14.96
123,Apr-22,,,12.97626693
124,May-22,,,14.63888187
125,Jun-22,,,16.01079999
126,Jul-22,,,17.94414587
127,Aug-22,,,16.54042427
128,Sep-22,,,16.41622744
129,Oct-22,,,15.8141088
130,Nov-22,,,13.99106197
131,Dec-22,,,13.40596
132,Jan-23,,,13.2328994
133,Feb-23,,,12.03240924
134,Mar-23,,,11.56541272
135,Apr-23,,,12.6643497
136,May-23,,,14.64445795
137,Jun-23,,,16.089218
138,Jul-23,,,17.99542854
139,Aug-23,,,16.54103409
140,Sep-23,,,16.35690277
141,Oct-23,,,15.80396589
142,Nov-23,,,13.90861278
143,Dec-23,,,13.35266949
