,step,MAE,MSE,RMSE,R2
0,1,0.1357964718568341,0.029985768799890962,0.1731639939476188,0.5013816992457254
1,2,0.08367057751106115,0.01408690158259943,0.11868825376843081,0.7500273503839462
2,3,0.1182326053751633,0.022057647119365593,0.14851817100734035,0.5938069981363507
3,4,0.09607122232376848,0.015121393404420588,0.12296907499213201,0.7294769246179091
4,5,0.08953852762788748,0.013205095596024511,0.11491342652633987,0.7698867909554363
5,6,0.08642160147279024,0.013078859406139882,0.11436284101988671,0.7771354685650307
6,7,0.09081390219683332,0.014334312503883916,0.11972598925832234,0.7608421835738526
7,8,0.09525672208902478,0.014182901770261493,0.1190919886905139,0.7637638734898963
8,9,0.11199670601822774,0.02346913152942939,0.15319638223348941,0.6179767382050717
9,10,0.10839120651633948,0.015948606552276142,0.12628779257028822,0.7460160450097783
10,11,0.12352280975828542,0.021469254080408378,0.14652390276131871,0.6566337331922003
11,12,0.11180266678509908,0.018679047312780032,0.13667131122799706,0.6954655524442471
