牧户,年份,10cm湿度(kgm2),200cm湿度(kgm2),土壤蒸发量(mm),植被指数(NDVI),径流量(m3),cp,生物量
1,2018,-14.18083333,-167.205,9.176666667,-0.471061093,-896343.7533,-0.104690426,53.96
1,2019,-13.46416667,-166.8866667,8.39,-0.401795284,-676518.75,-0.058102897,65.45
1,2020,-16.12916667,-166.465,12.555,-0.453644159,-598781.25,-0.106138775,124.2
2,2018,-14.18083333,-167.205,9.176666667,-0.471061093,-896343.7533,-0.104690426,124.74
2,2019,-13.46416667,-166.8866667,8.39,-0.401795284,-676518.75,-0.058102897,108.59
2,2020,-16.12916667,-166.465,12.555,-0.453644159,-598781.25,-0.106138775,92.81
3,2018,-14.18083333,-167.205,9.176666667,-0.471061093,-896343.7533,-0.104690426,73.92
3,2019,-13.46416667,-166.8866667,8.39,-0.401795284,-676518.75,-0.058102897,49.78
3,2020,-16.12916667,-166.465,12.555,-0.453644159,-598781.25,-0.106138775,100.16
4,2018,-14.18083333,-167.205,9.176666667,-0.471061093,-896343.7533,-0.104690426,107.2
4,2019,-13.46416667,-166.8866667,8.39,-0.401795284,-676518.75,-0.058102897,96.82
4,2020,-16.12916667,-166.465,12.555,-0.453644159,-598781.25,-0.106138775,61.79
