,index,corr,g,m,total
0,"螺纹钢（Φ16-25mm,HRB400）_fixed_GR",0.976180105956126,0.9177093305925128,1.0,0.9646298121828796
1,"线材（Φ6.5mm,HPB300）_fixed_GR",0.9753286482248108,0.880790333683898,1.0,0.9520396606362364
2,"普通中板（20mm,Q235）_fixed_GR",0.9874540263777111,0.9696991790730416,1.0,0.985717735150251
3,"热轧普通薄板（3mm,Q235）_fixed_GR",0.9844468409680006,0.9488137029663388,1.0,0.9777535146447799
4,"无缝钢管（219*6,20#）_fixed_GR",0.9968703248253555,0.9234183496649351,1.0,0.9734295581634301
5,角钢（5#）_fixed_GR,1.0,1.0,1.0,1.0
6,电解铜（1#）_fixed_GR,0.9609848854272811,0.8476120045121416,0.9056291384877098,0.9047420094757109
7,铝锭（A00）_fixed_GR,0.9663433103824179,0.8060103269906351,1.0,0.924117879124351
8,铅锭（1#）_fixed_GR,0.12883190861747013,0.1473943243185012,0.43377483092625924,0.23666702128741016
9,锌锭（0#）_fixed_GR,0.9852804832874427,0.896852931703735,1.0,0.9607111383303927
10,硫酸（98%）_fixed_GR,0.47516913975980324,0.28810110542454925,0.14904133427794042,0.3041038598207643
11,烧碱(液碱，32%)_fixed_GR,0.0729765056135801,0.04309587246550928,0.45758462827444935,0.19121900211784623
12,甲醇（优等品）_fixed_GR,0.8252367977221805,0.5899887204601382,0.7437124862118392,0.7196460014647194
13,纯苯（石油苯，工业级）_fixed_GR,0.8213760494245069,0.5185873639467133,0.5469279594355916,0.628963790935604
14,苯乙烯（一级品）_fixed_GR,0.724797045922445,0.43714018038903557,0.5115663746579908,0.5578345336564905
15,聚乙烯（LLDPE，7042）_fixed_GR,0.8680741967311167,0.5914049219254016,0.6553509358557679,0.7049433515040954
16,聚丙烯（T30S）_fixed_GR,0.9185405446723369,0.6853252280340083,0.5382760449753208,0.7140472725605553
17,聚氯乙烯（SG5）_fixed_GR,0.8619115676041222,0.6129456700876124,0.3251638183185894,0.600007018670108
18,顺丁胶（BR9000）_fixed_GR,0.725339036327835,0.4656065967894438,0.2858644276934572,0.4922700202702453
19,涤纶长丝（FDY150D/96F）_fixed_GR,0.8414837888148197,0.616244470063704,0.5725834032153592,0.6767705540312944
20,液化天然气（LNG）_fixed_GR,0.8048631313792318,0.5516318163588596,1.0,0.785498315912697
21,液化石油气（LPG）_fixed_GR,0.7751308208312687,0.5833232603126421,0.6404281336556115,0.6662940715998408
22,汽油（97#）_fixed_GR,0.6596740475700739,0.4992827591799833,0.38994897964288655,0.5163019287976479
23,汽油（93#）_fixed_GR,0.7581001080661021,0.5656166547933759,0.3271956385426906,0.5503041338007229
24,柴油（0#）_fixed_GR,0.8334083343982674,0.6089160727913083,1.0,0.8141081357298585
25,石蜡（58#半）_fixed_GR,0.843303866624619,0.5409484259671129,0.6915740304334834,0.6919421076750717
26,无烟煤（2号洗中块）_fixed_GR,0.9396193999677278,0.720441576498974,0.957848672390377,0.8726365496190263
27,普通混煤（4500大卡）_fixed_GR,0.9254825387443089,0.8229498122721051,0.9813148190198939,0.9099157233454359
28,山西大混（5000大卡）_fixed_GR,0.938255027765686,0.8584454877601821,0.9152212764452319,0.9039739306570334
29,山西优混（5500大卡）_fixed_GR,0.9474397792487356,0.8903209610948384,0.9953359433857254,0.9443655612430998
30,大同混煤（5800大卡）_fixed_GR,0.9707732698924854,0.8745112451995554,1.0,0.9484281716973468
31,焦煤（1/3焦煤）_fixed_GR,0.9153821535463021,0.7766413205592113,0.7654418669364698,0.8191551136806611
32,焦炭（二级冶金焦）_fixed_GR,0.9684304962203066,0.8714927170776816,1.0,0.9466410710993295
33,复合硅酸盐水泥（P.C 32.5袋装）_fixed_GR,0.9639632853289005,0.7794564182091932,1.0,0.9144732345126979
34,普通硅酸盐水泥（P.O 42.5散装）_fixed_GR,0.9527697240402714,0.785038390517284,1.0,0.9126027048525184
35,浮法平板玻璃（4.8/5mm）_fixed_GR,0.45408444078704097,0.3834052231888605,0.25519906390740377,0.3642295759611018
36,稻米（粳稻米）_fixed_GR,0.25922592647795273,0.21858451484916475,0.4357576570024171,0.30452269944317817
37,小麦（国标三等）_fixed_GR,0.6898081146369706,0.3007846893103716,0.6736028788065751,0.5547318942513058
38,玉米（黄玉米二等）_fixed_GR,0.8471012988529628,0.48335229063230756,0.6048491657878146,0.6451009184243616
39,棉花（皮棉，白棉三级）_fixed_GR,0.8619624558967871,0.6552314643064263,0.8795552729842582,0.7989163977291572
40,生猪（外三元）_fixed_GR,0.0,0.0,0.8795552729842582,0.2931850909947527
41,大豆（黄豆）_fixed_GR,0.8779556360675209,0.6429158989341803,0.7040485741683382,0.7416400363900131
42,豆粕（粗蛋白含量≥43%）_fixed_GR,0.6424661325203878,0.4242614795883761,0.17034094145147005,0.412356184520078
43,花生（油料花生米）_fixed_GR,0.7576905010453342,0.5017384712722821,0.75314259226823,0.6708571881952822
44,尿素（小颗料）_fixed_GR,0.8044629347085944,0.5420957146605994,0.6048491657878146,0.6504692717190028
45,复合肥（硫酸钾复合肥）_fixed_GR,0.7370545387531332,0.5158824951199192,0.0,0.4176456779576842
46,农药(草甘膦，95%原药）_fixed_GR,0.8525395448978377,0.60090891381076,0.9953359433857254,0.8162614673647743
47,纸浆（漂白化学浆）_fixed_GR,0.5413603687864095,0.41133964918455357,0.5827319470855936,0.5118106550188523
48,瓦楞纸（高强）_fixed_GR,0.6695976476794028,0.4231092691539198,0.7061060719811616,0.599604329604828
